Ticker,聯電,台達電,鴻海,台積電,廣達,中華電,聯發科,日月光投控,加權指數
聯電,1.0,0.3885189906197042,0.2843948322770749,0.32161732782065494,0.15886838212074064,0.0900741815161294,0.3279491068098485,0.3262367409698501,0.44971915275110574
台達電,0.3885189906197042,1.0,0.5548184493891108,0.6031698813073701,0.4203585481308081,0.03810952210227669,0.5140177519403794,0.6338240498688978,0.7941053967592534
鴻海,0.2843948322770749,0.5548184493891108,1.0,0.5593965744688669,0.6071445111902778,0.1865983299277141,0.5056718883216732,0.4910363801942598,0.7256462354810037
台積電,0.32161732782065494,0.6031698813073701,0.5593965744688669,1.0,0.3749039573054467,0.11847415105163123,0.41145795079464415,0.66447301294484,0.8940820931261111
廣達,0.15886838212074064,0.4203585481308081,0.6071445111902778,0.3749039573054467,1.0,0.17694379057723644,0.31377478305839007,0.30939834390725024,0.516428193981272
中華電,0.0900741815161294,0.03810952210227669,0.1865983299277141,0.11847415105163123,0.17694379057723644,1.0,-0.01473660727324786,-0.01913526405806724,0.14376044372847083
聯發科,0.3279491068098485,0.5140177519403794,0.5056718883216732,0.41145795079464415,0.31377478305839007,-0.01473660727324786,1.0,0.5122199745863166,0.6326073975678573
日月光投控,0.3262367409698501,0.6338240498688978,0.4910363801942598,0.66447301294484,0.30939834390725024,-0.01913526405806724,0.5122199745863166,1.0,0.7730775221183155
加權指數,0.44971915275110574,0.7941053967592534,0.7256462354810037,0.8940820931261111,0.516428193981272,0.14376044372847083,0.6326073975678573,0.7730775221183155,1.0
