Date,聯電,台達電,鴻海,台積電,廣達,中華電,聯發科,日月光投控,加權指數
2026-01-02,48.70000076293945,989.82421875,225.29090881347656,1575.6419677734375,277.0,132.0,1442.0458984375,255.6631622314453,29349.810546875
2026-01-05,48.5,1004.7461547851562,227.71861267089844,1660.14013671875,278.0,133.0,1496.0,261.11334228515625,30105.0390625
2026-01-06,49.20000076293945,1044.5380859375,229.17523193359375,1694.9334716796875,282.0,132.5,1485.0,269.0408935546875,30576.30078125
2026-01-07,54.099998474121094,1024.64208984375,231.60293579101562,1665.110595703125,282.0,133.0,1490.0,272.5091857910156,30435.470703125
2026-01-08,52.79999923706055,1004.7461547851562,222.8632049560547,1675.0516357421875,273.0,133.5,1445.0,271.02276611328125,30360.55078125
2026-01-09,55.099998474121094,1009.7201538085938,223.83428955078125,1670.0810546875,283.0,133.5,1420.0,269.5363464355469,30288.9609375
2026-01-12,55.29999923706055,1049.5120849609375,221.89212036132812,1680.02197265625,280.5,133.5,1445.0,280.43670654296875,30567.2890625
2026-01-13,54.900001525878906,1024.64208984375,219.949951171875,1699.904052734375,279.0,133.5,1485.0,286.8778381347656,30707.220703125
2026-01-14,54.0,1054.486083984375,227.71861267089844,1699.904052734375,286.0,133.0,1500.0,291.8325500488281,30941.779296875
2026-01-15,54.70000076293945,1039.5640869140625,226.74752807617188,1680.02197265625,283.0,133.5,1490.0,295.79632568359375,30810.580078125
2026-01-16,58.5,1119.14794921875,227.71861267089844,1729.726806640625,289.5,133.0,1505.0,300.75103759765625,31408.69921875
2026-01-19,62.5,1114.1739501953125,222.8632049560547,1749.608642578125,282.0,134.0,1485.0,296.29180908203125,31639.2890625
2026-01-20,67.80000305175781,1124.1219482421875,217.03671264648438,1764.5201416015625,277.5,133.0,1485.0,293.3189697265625,31759.990234375
2026-01-21,68.4000015258789,1129.095947265625,212.66685485839844,1729.726806640625,275.0,133.0,1465.0,288.3642578125,31246.369140625
2026-01-22,67.5999984741211,1238.523681640625,217.03671264648438,1749.608642578125,283.0,133.0,1485.0,295.3008728027344,31746.080078125
2026-01-23,64.80000305175781,1253.4456787109375,215.0945587158203,1759.5496826171875,280.0,134.0,1630.0,304.7148132324219,31961.509765625
2026-01-26,69.30000305175781,1223.601806640625,217.52224731445312,1744.6383056640625,287.0,134.0,1770.0,309.1740417480469,32064.51953125
2026-01-27,76.19999694824219,1243.4976806640625,218.9788818359375,1769.49072265625,287.5,133.0,1775.0,303.723876953125,32317.919921875
2026-01-28,75.9000015258789,1273.3416748046875,218.9788818359375,1809.2545166015625,287.0,133.5,1780.0,311.15594482421875,32803.8203125
2026-01-29,68.4000015258789,1248.4716796875,217.52224731445312,1794.3431396484375,283.0,133.5,1780.0,307.1921691894531,32536.26953125
2026-01-30,62.400001525878906,1213.65380859375,214.12347412109375,1764.5201416015625,280.0,133.5,1760.0,294.3099060058594,32063.75
2026-02-02,60.70000076293945,1168.8878173828125,208.29698181152344,1754.5792236328125,273.0,133.0,1705.0,289.3551940917969,31624.029296875
